comment_text,toxic
"I'm not disagreeing with you that the group exists, thats obvious.  We need an authoritative source to list them as terrorists, though, not any .com operation.",0
"re vandalism 

how can i leave a reason for making a change. I deleted the segment i added because i felt that it would take more time to edit the existing fundraising segment than i have. 

ps what are the rules for primary sources i'm trying to create a qeeg article and i worked for ER John PHD and bob Eisenheart phd who was one of the  people who created VARETA and nx link which are  the basis of the queeg",0
"""

 A barnstar for you! 

  The Barnstar of Diligence Just wanted to thank you for your continued persistence on new Modern Family episode articles. I'm really grateful to be able to read aggregated episode reviews without needing to paraphrase them myself. Keep up the good work! czar """,0
"When I open a talk discussion based on a disputed edit on your talk page and you ignore it and give me a warning on my own page about the EXACT SAME MATTER, it generally doesn't look good.  Do not remove mine or anyone else's comments from anyone else's talk page.  it's vandalism.  Not like, an interpretation of WP:VANDAL.  It's spelled right out!

Deleting the comments of other users from article Talk pages, or deleting entire sections thereof, is generally considered vandalism.

Don't ignore my comments and make bad-faith warnings on my talk page, and don't delete comments from talk pages!   (Karwynn)",0
WIKIPEDIA SUX RANK FAGOTY ASS ==,1
"""::I'll bite for hopefully a last time.  Nobody cares what you think is fact.  Get over it.  As you've been told several times, """"fact"""" is not Wikipedia policy.  Verifiability is.  It's policy.  Accept it or please move on because your edits will almost always be reverted by editors who do follow policy.  

""",0
there's nothing wrong with the 4 train image that was reverted because the b and l train articles also have two identical photos too and i explain why to vochen and there's nothing wrong with the edits that was reverted at the 14 street 8 avenue article you guys are just being complete dickheads and hypocritical retards at best,0
See [] for discussion about User FWDixon/Bob Finnan's link spamming and plagiarism.,0
I have a huge penis and I like to fuck icelantic girls in the ass.,1
"Not really relevant anymore, but why is it that you are looking only at the fact that I'm blocked on must not comment there? You could at least have pretended to be looking at the content of what I was getting at. — Dorftrottel⁠",0
Please put the gay jokes back on the queer page,1
"I'm back... 

...I haven't found the rusty knife yet, but I'm working on it. Now, I believe we have matters to discuss. Like wtf do you think you are playing at?!?! 217.41.238.156",0
"To the contrary, if you read my intent.  However, there is still the matter of the graph made from census bureau data sourced from healthsentinel with permission that expands the existing graph from the CDC.  Also, there is the matter of the peer reviewed, academic journal article from Sage Publications by Dr. Miller showing the correlation of infant mortality rates and vaccination schedules.  I would like to include this since this page is about the controversy and not the vaccines themselves.  This article explains the want of people for further testing on the safety of so many vaccines in a short period of time.",0
How can I blocked for 2 weeks?,0
"I would object to that title for the same reasons as presented above.  Splitting hairs and playing at semantics does not sidestep the above raised problems, imo.  And one of the arguments Tarc has alluded to is one I agree completely with: If you can't describe a person in terms of their own accomplishments, but only on the nature of their relationship with someone else, then they simply are not notable enough for an article.  If Sarah Brown is only really notable for being the spouse of someone, then this article should be deeply pruned, merged and redirected to Gordon Brown. lute",0
"They're about to start construction on new lines 3 and 6. Exciting, now I'll only have to walk two blocks to get to the fackin tube...",1
"http://en.wikipedia.org/wiki/User_talk:62.203.172.174 

What the fu** are you talking about? If you had an ounce of reason in your scull you would have seen that I just removed a double entry - nothing else. 

By the way, there is more of it further down on that page, but I refrained from doing that, as I am not a native speaker.

NB: It is people like you that make life hell for ordinary wikipedians.",0
"But again. The Variety source is a reliable source (even stated again here) that, again per WP:V, will be used until a new or different reliable source comes around that says otherwise. -",0
"I believe your a fake, i mean are you really an administrator? ur so mean, what did i do? are you atheist? u act like 1",1
"Revert 
Reverted one step due to vandalism;",0
"You must really hate freedom, you evil-doing, nazi asshole
IP Banning, is that something Osama Bin Laden told you would be effective? You are such a snivelling little asshole",1
PS:  you're all middle-aged losers at home in your parents basements living off 50 bucks a week,1
