word,mean_impact,std_impact,frequency,max_impact,min_impact,impact_range
course,-1.128483467252348,1.3485494622931467,9,-0.4097041887476678,-3.859844725570133,3.4501405368224654
thank,-0.33102603521606105,0.1200454399194795,7,-0.25510263264356997,-0.5208345416472887,0.26573190900371874
made,-0.3249198055452102,0.0,15,-0.3249198055452102,-0.3249198055452102,0.0
deserve,-0.29948972428289816,0.0,5,-0.29948972428289816,-0.29948972428289816,0.0
point,-0.29913027534477477,0.09491146906903283,14,-0.2603828303519283,-0.5316149453018535,0.2712321149499252
user,-0.2989969341851254,0.09147450631644179,8,-0.2644228206114522,-0.5410157292008374,0.2765929085893852
their,-0.27600232033951483,0.07140790170286729,14,-0.2561973317962087,-0.5334671714024951,0.27726983960628643
both,-0.2670871656543555,0.08680596777919852,6,-0.22826635669296663,-0.4611912104612999,0.23292485376833327
always,-0.2615742027115005,0.08501420035221294,6,-0.2235546965034336,-0.4516717337518352,0.22811703724840163
think,-0.25920665432557094,0.14289065513790325,29,-0.21066911216361403,-0.9144634735119905,0.7037943613483765
can,-0.2501202024711905,0.29389949732310533,47,-0.1455515376657402,-1.6577753056214823,1.5122237679557422
day,0.24120305028713324,0.25919411159647154,5,0.5905816145182909,0.030257502072094607,0.5603241124461963
interested,-0.24025874495375002,2.7755575615628914e-17,5,-0.24025874495375,-0.24025874495375,0.0
asshole,0.23626480905483196,0.12242213608639255,6,0.4766971113494372,0.1561207082899636,0.3205764030594736
blocked,-0.23607494614522836,0.07677196410146886,20,-0.20382427044232834,-0.4188287751283287,0.21500450468600038
sorry,-0.22795096734437667,0.0,6,-0.22795096734437667,-0.22795096734437667,0.0
stupid,0.2265077159076167,0.10675757175405821,14,0.5372178886203968,0.17472268712215333,0.36249520149824344
lot,-0.22283229361994747,0.0,5,-0.22283229361994747,-0.22283229361994747,0.0
talking,-0.21645239557266466,0.06513639778997372,8,-0.19183315130825787,-0.38878710542351236,0.1969539541152545
deletion,0.20765669950124424,0.2036262351935938,8,0.6370001698745765,0.05483953208022766,0.5821606377943489
problems,-0.20361031314689002,0.0,6,-0.20361031314689002,-0.20361031314689002,0.0
