word,mean_impact,std_impact,frequency,max_impact,min_impact,impact_range
fuck,0.3379464844636257,0.057689930560389485,18,0.4345232080668211,0.20471838815137744,0.22980481991544366
ass,0.2792629963718355,0.03562852813013586,5,0.30333836656063795,0.2084072360303253,0.09493113053031266
bitch,0.2572052992805506,0.04056589202965589,7,0.29147238936275244,0.1667757537215948,0.12469663564115763
fucking,0.24905848763335278,0.04317175427566609,17,0.34399498254060745,0.15815181261859834,0.1858431699220091
stupid,0.24783583692208463,0.05748195594005776,14,0.3310076668858528,0.13736885250546038,0.19363881438039243
gay,0.16922183267888613,0.043011509218929586,8,0.2067217445001006,0.0791981490328908,0.12752359546720982
mother,0.1493892861929323,0.031785879562403876,7,0.18277633283287287,0.08639714680612087,0.096379186026752
shit,0.14211753652825093,0.039342178178811915,13,0.2241740208119154,0.07982915034517646,0.14434487046673894
idiot,0.13748049419761324,0.01182160799569837,6,0.15382693149149418,0.11478739976882935,0.03903953172266483
hell,0.13628742718396503,0.030986473850670007,9,0.17517687566578388,0.08594790287315845,0.08922897279262543
asshole,0.12182225685101003,0.0419190497347223,5,0.17783330846577883,0.05865760415326804,0.11917570431251079
please,-0.1185656187638718,0.030017917342114436,24,-0.0803782194852829,-0.19399333093315363,0.11361511144787073
cock,0.11757366379190769,0.017732554216442608,7,0.139840979129076,0.09159259544685483,0.048248383682221174
for,-0.11092024040186689,0.032133195590312566,105,-0.04632885265164077,-0.21167279034852982,0.16534393769688904
thanks,-0.0974343425128609,0.028697149036026173,5,-0.05453678849153221,-0.14495839551091194,0.09042160701937973
talk,-0.07343192196310346,0.026887201911716372,43,-0.029371401760727167,-0.14229126134887338,0.11291985958814621
penis,0.07321746684610844,0.013001662241487787,5,0.08904812950640917,0.0550716370344162,0.03397649247199297
think,-0.07182613913319073,0.020878785152111584,30,-0.0340973068960011,-0.11856933869421482,0.08447203179821372
claim,-0.07070271132720841,0.018587360313411395,9,-0.041048234328627586,-0.0925245750695467,0.05147634074091911
help,-0.06399050820618868,0.008515670627795851,8,-0.04907231847755611,-0.07281313929706812,0.02374082081951201
bastard,0.06236849593309065,0.016506309969835244,6,0.07473906502127647,0.02722090994939208,0.047518155071884394
thank,-0.062162743349160464,0.01478793129378592,7,-0.039176692720502615,-0.08098546601831913,0.041808773297816515
go,0.05952802582178265,0.01729004665208724,20,0.09469294268637896,0.03041938040405512,0.06427356228232384
my,0.05129723254785252,0.020911929204305343,75,0.10264285746961832,0.012758305412717164,0.08988455205690116
shut,0.050825489684939384,0.00884632129560523,6,0.05909222550690174,0.037836809642612934,0.021255415864288807
faggot,0.04992650277563371,0.014954726850305666,6,0.06388746481388807,0.02796198331634514,0.03592548149754293
talking,-0.04334069336099284,0.013457239993811028,7,-0.013942835852503777,-0.057909054681658745,0.04396621882915497
were,-0.0366289050263517,0.014502098759895459,17,-0.013075391296297312,-0.06428093044087291,0.051205539144575596
better,-0.03568589182603838,0.016146745432228143,14,-0.008115939446724951,-0.05813651345670223,0.05002057400997728
edits,0.035041488255100214,0.010539546040720178,17,0.05050331400707364,0.01902102818712592,0.03148228581994772
dont,0.03480039993467342,0.013445993275149308,14,0.06263437122106552,0.01197730889543891,0.05065706232562661
off,0.033152695209376845,0.0179471332031926,17,0.07785119814798236,0.009006489999592304,0.06884470814839005
its,-0.031937550357542935,0.006905166031721346,10,-0.02106870710849762,-0.040238938527181745,0.019170231418684125
all,0.03138039989668565,0.016705687520480107,27,0.05956815090030432,0.0007809528615325689,0.05878719803877175
articles,-0.030810179142281412,0.017274228734809875,10,-0.01029131468385458,-0.05850779637694359,0.04821648169308901
black,0.030612031929194927,0.0,5,0.030612031929194927,0.030612031929194927,0.0
up,0.03014641284405823,0.007546937750406112,36,0.05045259790495038,0.018436706624925137,0.032015891280025244
sources,-0.02918268242654832,0.01189862112815936,19,-0.016091058030724525,-0.05758287571370602,0.04149181768298149
that,-0.0290222669943606,0.015869709659284893,178,0.016582729993388057,-0.06350292358547449,0.08008565357886255
face,0.02840169658884406,0.01440827295703371,6,0.04820725880563259,0.011917798779904842,0.03628946002572775
stop,0.028222199339264384,0.02688207611199001,15,0.10249774483963847,0.009961735922843218,0.09253600891679525
can,-0.025728132684889715,0.014120751176087708,40,-0.002880731364712119,-0.056263508973643184,0.053382777608931065
are,0.025693289253928036,0.010428817470807593,83,0.05402251658961177,-0.005439276632387191,0.05946179322199896
link,-0.02566637298358338,0.00909327438787805,14,-0.012758164666593075,-0.042693398892879486,0.02993523422628641
made,-0.02484551425475408,0.013201273146154841,17,-0.011384123004972935,-0.04858205188065767,0.03719792887568474
his,0.02478473071823828,0.006737709288955012,16,0.036125213373452425,0.013555357232689857,0.022569856140762568
other,-0.02477506920695305,0.01275061571640096,17,-0.009557338431477547,-0.05314183980226517,0.04358450137078762
in,-0.023953417624455898,0.012429131388812277,94,0.005403284914791584,-0.05750570585951209,0.06290899077430367
said,0.02376912022009492,0.006981121060387619,8,0.03325232118368149,0.016206951811909676,0.017045369371771812
