word,average_impact,direction
ass,0.04586600529100529,Less Toxic
you,0.01763873015873016,Less Toxic
in,0.016297103174603172,Less Toxic
for,0.016006174603174605,More Toxic
sux,0.015279113756613755,Less Toxic
fuck,0.014094753086419753,Less Toxic
huge,0.013808373015873015,Less Toxic
not,0.013151128747795412,More Toxic
on,0.012196349206349207,More Toxic
article,0.010702738095238097,More Toxic
icelantic,0.010255066137566137,Less Toxic
rank,0.009827050264550266,Less Toxic
the,0.008777526455026455,More Toxic
wikipedia,0.00837537037037037,More Toxic
be,0.007841666666666667,More Toxic
have,0.007692738095238095,Less Toxic
girls,0.0069325908289241634,Less Toxic
of,0.006552777777777778,More Toxic
like,0.006318928571428571,Less Toxic
penis,0.005341757495590829,Less Toxic
fact,0.004935555555555555,More Toxic
discussion,0.0047711111111111105,More Toxic
with,0.004608333333333333,More Toxic
link,0.004271031746031747,More Toxic
them,0.003622222222222222,More Toxic
to,0.0034833333333333335,More Toxic
about,0.003336666666666667,More Toxic
your,0.003235810405643738,Less Toxic
an,0.003133333333333334,More Toxic
because,0.0029916666666666663,More Toxic
as,0.0029809523809523806,Less Toxic
user,0.002969087301587302,More Toxic
are,0.0028739682539682537,Less Toxic
just,0.002853888888888889,More Toxic
worked,0.0027,More Toxic
take,0.002628571428571429,More Toxic
accept,0.0026252380952380954,More Toxic
persistence,0.0023625000000000005,More Toxic
see,0.002180952380952381,More Toxic
any,0.0020722222222222223,More Toxic
train,0.0019944444444444454,More Toxic
spamming,0.001977619047619048,More Toxic
reverted,0.001931350529100529,More Toxic
fagoty,0.0017388888888888892,Less Toxic
create,0.0017388888888888888,More Toxic
must,0.0016547619047619048,More Toxic
exact,0.001591666666666667,More Toxic
14,0.00155,More Toxic
verifiability,0.0013833333333333336,More Toxic
entire,0.0013833333333333332,More Toxic
segment,0.0013761904761904762,More Toxic
relevant,0.00135,More Toxic
make,0.0013409523809523813,More Toxic
is,0.0012888888888888887,More Toxic
hopefully,0.0012875,More Toxic
edit,0.00125,More Toxic
why,0.0012422874779541445,More Toxic
being,0.001225,More Toxic
bad,0.0010481481481481483,More Toxic
don,0.0010317460317460319,More Toxic
could,0.0010180555555555555,More Toxic
and,0.0009874999999999999,More Toxic
there,0.0009333333333333332,More Toxic
finnan,0.0009320008818342149,More Toxic
complete,0.0009265873015873018,More Toxic
leave,0.0008523809523809523,More Toxic
warnings,0.000821410934744268,More Toxic
new,0.0008042901234567898,More Toxic
content,0.0007045017636684303,Less Toxic
best,0.0006681631393298061,Less Toxic
it,0.0006602896825396825,Less Toxic
trying,0.0006371252204585536,More Toxic
by,0.0005999999999999998,More Toxic
follow,0.0005091666666666667,More Toxic
czar,0.00046861111111111094,More Toxic
one,0.0004249999999999999,More Toxic
plagiarism,0.0003972222222222221,More Toxic
think,0.0003922222222222222,More Toxic
bite,0.0003583333333333332,More Toxic
keep,0.0003466626984126986,More Toxic
wrong,0.00034444444444444453,More Toxic
without,0.00032063492063492065,More Toxic
authoritative,0.0,Less Toxic
really,0.0,Less Toxic
phd,0.0,Less Toxic
street,0.0,Less Toxic
photos,0.0,Less Toxic
please,0.0,Less Toxic
spelled,0.0,Less Toxic
avenue,0.0,Less Toxic
sources,0.0,Less Toxic
source,0.0,Less Toxic
several,0.0,Less Toxic
policy,0.0,Less Toxic
pretended,0.0,Less Toxic
primary,0.0,Less Toxic
ps,0.0,Less Toxic
qeeg,0.0,Less Toxic
sections,0.0,Less Toxic
same,0.0,Less Toxic
rules,0.0,Less Toxic
right,0.0,Less Toxic
reviews,0.0,Less Toxic
queeg,0.0,Less Toxic
based,0.0,Less Toxic
barnstar,0.0,Less Toxic
retards,0.0,Less Toxic
remove,0.0,Less Toxic
re,0.0,Less Toxic
reason,0.0,Less Toxic
read,0.0,Less Toxic
created,0.0,Less Toxic
articles,0.0,Less Toxic
at,0.0,Less Toxic
which,0.0,Less Toxic
ve,0.0,Less Toxic
vochen,0.0,Less Toxic
wanted,0.0,Less Toxic
warning,0.0,Less Toxic
was,0.0,Less Toxic
we,0.0,Less Toxic
what,0.0,Less Toxic
when,0.0,Less Toxic
who,0.0,Less Toxic
talk,0.0,Less Toxic
also,0.0,Less Toxic
will,0.0,Less Toxic
almost,0.0,Less Toxic
work,0.0,Less Toxic
aggregated,0.0,Less Toxic
would,0.0,Less Toxic
wp,0.0,Less Toxic
added,0.0,Less Toxic
vareta,0.0,Less Toxic
vandalism,0.0,Less Toxic
vandal,0.0,Less Toxic
users,0.0,Less Toxic
terrorists,0.0,Less Toxic
than,0.0,Less Toxic
thank,0.0,Less Toxic
that,0.0,Less Toxic
thats,0.0,Less Toxic
people,0.0,Less Toxic
anyone,0.0,Less Toxic
